"effect","component","term","estimate","std.error","statistic","p.value","gene"
"fixed","cond","(Intercept)",-23.731984780309,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC",-28.1863293082028,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-6",-10.4488610059864,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-12",-35.7737833783856,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-18",18.0616424808316,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-24",-29.9828605751943,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-30",26.984782652064,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-36",34.9622355515202,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-over42",33.2693913031701,NA,NA,NA,"edge_16"
"fixed","cond","SexMale",-62.6256462544881,NA,NA,NA,"edge_16"
"fixed","cond","Age.at.Gluten.Introduction..months.",-2.43443344924286,NA,NA,NA,"edge_16"
"fixed","cond","HLA.CategoryHigh Risk",3.15505934139364,NA,NA,NA,"edge_16"
"fixed","cond","HLA.CategoryLow/No Risk",-2.27810871320029,NA,NA,NA,"edge_16"
"fixed","cond","feeding_first_yearFormula",1.04033724754999,NA,NA,NA,"edge_16"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",19.8728913211504,NA,NA,NA,"edge_16"
"fixed","cond","Delivery.ModeC-Section",19.0270085829814,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-6.30286505650833,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-6.00409673536825,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",53.4081684092658,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-7.80971617514523,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-10.4384986969607,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-14.535265561824,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-18.2834133877511,NA,NA,NA,"edge_16"
"fixed","cond","(Intercept)",-211.682820523195,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC",-323.56860520688,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-6",-334.096252262819,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-12",-298.464152432541,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-18",0.975416603623301,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-24",-0.839347340926816,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-30",-1.19059220282353,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-36",-3.5390852398092,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-over42",-0.569689610452203,NA,NA,NA,"edge_1732"
"fixed","cond","SexMale",-193.076884431793,NA,NA,NA,"edge_1732"
"fixed","cond","Age.at.Gluten.Introduction..months.",27.8898549967662,NA,NA,NA,"edge_1732"
"fixed","cond","HLA.CategoryHigh Risk",-341.588268524811,NA,NA,NA,"edge_1732"
"fixed","cond","HLA.CategoryLow/No Risk",-203.536564004236,NA,NA,NA,"edge_1732"
"fixed","cond","feeding_first_yearFormula",-125.737788656705,NA,NA,NA,"edge_1732"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-283.176789982027,NA,NA,NA,"edge_1732"
"fixed","cond","Delivery.ModeC-Section",-45.9337886886484,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-23.9526868684297,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-3.71059685809577,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-24.324031996223,NA,NA,NA,"edge_1732"
